question,answer
What is the address of the dental hospital?,"The dental hospital is located at 157/F Nilgunj Road, Panihati, Sodepur, Kolkata, Pin: 700114, West Bengal."
How can I contact the dental hospital by phone?,You can contact the dental hospital by phone using the following number: Phone: (033) 2583 9998.
Is there a fax number available for communication?,"Yes, the dental hospital has a fax number for communication: Fax: (033) 2583 9997."
What is the official email address for inquiries?,"For inquiries and communication, you can use the following email address: Email: info@gnidsr.ac.in."
How can I reach the dental hospital by public transportation?,"The dental hospital is located at 157/F Nilgunj Road, Panihati, Sodepur, Kolkata. You can use local transportation options such as buses, taxis, or other available modes of public transportation to reach the hospital."
What is the significance of the Pin code mentioned in the address?,The Pin code 700114 is a specific postal code that helps identify the precise location of the dental hospital. It is used for efficient mail delivery and geographical identification.
Can I contact the hospital for general inquiries or specific information?,"Yes, you can contact the hospital for general inquiries, appointments, or specific information related to dental services, treatments, and facilities using the provided contact details."
Is the provided phone number operational during specific hours?,"The provided phone number, (033) 2583 9998, can be used during the dental hospital's operational hours for inquiries, appointments, and communication. It is advisable to contact the hospital within their working hours."
How quickly can I expect a response to emails sent to the provided email address?,"The response time to emails sent to the provided email address (info@gnidsr.ac.in) may vary based on the hospital's workload. However, the hospital aims to respond to inquiries and emails in a timely manner."
Is there an alternative mode of communication if I have difficulty reaching the hospital by phone or email?,"If you have difficulty reaching the hospital by phone or email, you can consider visiting the hospital in person or seeking assistance from someone who can help facilitate communication on your behalf."
What are the hospital's operating hours for inquiries and appointments?,"The specific operating hours of the hospital for inquiries and appointments may vary. It is advisable to contact the hospital during their working hours, typically from 9:00 am to 3:00 pm (Monday to Friday) and 9:00 am to 1:00 pm (Saturday)."
Can I use the fax number to send documents or inquiries?,"Yes, you can use the provided fax number, (033) 2583 9997, to send documents or inquiries to the dental hospital. Please ensure that the documents are clear and legible for proper communication."
"Is the hospital reachable via public transportation, and are there any landmarks nearby?","Yes, the hospital is reachable via public transportation such as buses, taxis, and other modes of travel. The hospital's location at 157/F Nilgunj Road, Panihati, Sodepur, Kolkata, can serve as a reference point for reaching the hospital."
What is the preferred method of contact for general inquiries?,"For general inquiries, you can use either the provided phone number or the email address. Both options are suitable for seeking information, appointments, or addressing non-urgent inquiries."
Can I receive directions to the hospital using GPS or navigation apps?,"Yes, you can use GPS or navigation apps to receive directions to the hospital's address: 157/F Nilgunj Road, Panihati, Sodepur, Kolkata, Pin: 700114, West Bengal."
Are there any additional contact details available for emergency situations?,"In case of emergencies, it is recommended to use the provided phone number, (033) 2583 9998, to seek immediate assistance or guidance from the hospital staff."
How can I inquire about specific dental services or treatments offered at the hospital?,"To inquire about specific dental services or treatments, you can contact the hospital using the provided phone number or email address. The hospital staff can provide you with information about available services and treatments."
Is there a specific person or department I should contact for billing-related inquiries?,Billing-related inquiries can be directed to the hospital's administration or front desk. You can use the provided contact details to seek assistance with billing questions or concerns.
"Can I schedule an appointment through email, or is it preferable to call?",You can schedule an appointment through either email (info@gnidsr.ac.in) or by calling the provided phone number. Both options are suitable for making appointments based on your convenience.
Is there a patient support or information desk at the hospital for walk-in inquiries?,"While specific details may vary, most hospitals have a patient support or information desk that can assist with walk-in inquiries, directions, and general information. It's advisable to inquire about this upon arrival."
What is the address of the dental hospital?,"The dental hospital is located at 157/F Nilgunj Road, Panihati, Sodepur, Kolkata, Pin: 700114, West Bengal."
How can I contact the dental hospital by phone?,You can contact the dental hospital by phone using the following number: Phone: (033) 2583 9998.
Is there a fax number available for communication?,"Yes, the dental hospital has a fax number for communication: Fax: (033) 2583 9997."
What is the official email address for inquiries?,"For inquiries and communication, you can use the following email address: Email: info@gnidsr.ac.in."
How can I reach the dental hospital by public transportation?,"The dental hospital is located at 157/F Nilgunj Road, Panihati, Sodepur, Kolkata. You can use local transportation options such as buses, taxis, or other available modes of public transportation to reach the hospital."
What is the significance of the Pin code mentioned in the address?,The Pin code 700114 is a specific postal code that helps identify the precise location of the dental hospital. It is used for efficient mail delivery and geographical identification.
Can I contact the hospital for general inquiries or specific information?,"Yes, you can contact the hospital for general inquiries, appointments, or specific information related to dental services, treatments, and facilities using the provided contact details."
Is the provided phone number operational during specific hours?,"The provided phone number, (033) 2583 9998, can be used during the dental hospital's operational hours for inquiries, appointments, and communication. It is advisable to contact the hospital within their working hours."
How quickly can I expect a response to emails sent to the provided email address?,"The response time to emails sent to the provided email address (info@gnidsr.ac.in) may vary based on the hospital's workload. However, the hospital aims to respond to inquiries and emails in a timely manner."
Is there an alternative mode of communication if I have difficulty reaching the hospital by phone or email?,"If you have difficulty reaching the hospital by phone or email, you can consider visiting the hospital in person or seeking assistance from someone who can help facilitate communication on your behalf."
What can I do if I'm not satisfied with my treatment at the dental hospital?,"If you find yourself unsatisfied with your treatment, there are steps you can take to address your concerns and seek resolution."
Who should I approach first if I'm not satisfied with my treatment?,"Initially, you may approach the Senior Faculty member of the Department where you received treatment. They can address your concerns and work towards finding a satisfactory solution."
What if I'm still not satisfied after discussing my concerns with the Senior Faculty member?,"If your concerns persist, you have the option to escalate the matter. You can approach the Departmental Head, who holds a higher position within the department and can offer further assistance."
Are there additional steps I can take if I'm not satisfied even after speaking to the Departmental Head?,"Yes, if you remain unsatisfied after speaking to the Departmental Head, you have the right to express your concern to the HOSPITAL SUPERINTENDENT, whose office is located on the Ground Floor. They oversee hospital operations and can assist in addressing your issue."
How does the hospital handle patient feedback and concerns?,"The hospital values patient feedback and concerns. The hierarchical approach of first discussing concerns with the Senior Faculty member, then the Departmental Head, and finally the HOSPITAL SUPERINTENDENT, ensures that patient satisfaction and well-being are prioritized."
